,dias_com_posicao_e_retorno_ausente,exposicao_abs_media_nesses_dias,exposicao_abs_maxima
PL=F,185,0.05713022098629755,0.10256623517956973
PA=F,156,0.04841053163473209,0.11611718891498689
LE=F,12,0.07765356336815675,0.07982507308693075
BRL=X,8,0.09536678224082525,0.09686793283475913
INR=X,8,0.11590845697424021,0.11773295020910114
SEK=X,8,0.09382693194809169,0.0953038440480008
JPY=X,2,0.0511478548401735,0.05116143974371229
BZ=F,2,0.007330051780014031,0.007367444896842899
EFA,0,,0.0
DBA,0,,0.0
CT=F,0,,0.0
CC=F,0,,0.0
CAD=X,0,,0.0
AUDUSD=X,0,,0.0
GBPUSD=X,0,,0.0
EWJ,0,,0.0
IEF,0,,0.0
HG=F,0,,0.0
HE=F,0,,0.0
GLD,0,,0.0
MXN=X,0,,0.0
KC=F,0,,0.0
OJ=F,0,,0.0
EWT,0,,0.0
NG=F,0,,0.0
SB=F,0,,0.0
TRY=X,0,,0.0
VNQ,0,,0.0
XLE,0,,0.0
XLP,0,,0.0
XLU,0,,0.0
XLV,0,,0.0
ZAR=X,0,,0.0
ZC=F,0,,0.0
ZL=F,0,,0.0
ZW=F,0,,0.0
^AXJO,0,,0.0
^BSESN,0,,0.0
^HSI,0,,0.0
^JKSE,0,,0.0
