ativo,inicio,fim,dias_calendario_cdi
BRL=X,2004-09-03,2006-03-23,390
SEK=X,2003-05-09,2003-11-28,145
PL=F,2004-05-05,2004-07-13,49
PA=F,2009-07-06,2009-08-27,39
PL=F,2006-08-04,2006-09-27,38
PL=F,2008-08-06,2008-09-26,38
PA=F,2007-04-05,2007-05-29,37
PA=F,2007-10-04,2007-11-28,37
PL=F,2007-05-07,2007-06-27,37
PL=F,2008-11-06,2008-12-29,37
PL=F,2009-08-06,2009-09-28,37
PA=F,2008-01-07,2008-02-27,36
PA=F,2008-04-04,2008-05-28,36
PL=F,2008-05-07,2008-06-26,36
PL=F,2009-05-07,2009-06-26,36
PL=F,2007-11-07,2007-12-27,35
PL=F,2009-02-05,2009-03-27,35
PL=F,2003-11-05,2003-12-17,31
PL=F,2006-02-06,2006-03-17,28
PA=F,2006-07-06,2006-08-04,22
PA=F,2007-08-02,2007-08-29,20
LE=F,2006-01-09,2006-01-31,17
PA=F,2007-01-05,2007-01-29,17
PA=F,2008-08-06,2008-08-27,16
PA=F,2009-11-06,2009-11-26,15
PL=F,2006-12-06,2006-12-27,15
PL=F,2007-03-08,2007-03-28,15
PL=F,2009-11-06,2009-11-26,15
PL=F,2007-02-06,2007-02-27,14
PL=F,2005-12-12,2005-12-28,13
BRL=X,2008-08-08,2008-08-25,12
INR=X,2008-08-08,2008-08-25,12
SEK=X,2008-08-08,2008-08-25,12
PA=F,2006-11-14,2006-11-28,10
PA=F,2010-02-04,2010-02-19,10
PL=F,2006-11-07,2006-11-21,10
PA=F,2006-08-15,2006-08-24,8
PA=F,2005-10-06,2005-10-17,7
PA=F,2008-10-06,2008-10-14,7
PL=F,2005-11-23,2005-12-01,7
PL=F,2008-02-08,2008-02-18,7
BZ=F,2009-04-23,2009-04-30,6
JPY=X,2008-08-18,2008-08-25,6
PA=F,2007-07-17,2007-07-24,6
PA=F,2006-01-05,2006-01-11,5
PA=F,2009-02-05,2009-02-06,2
PL=F,2005-11-07,2005-11-08,2
^JKSE,2018-06-18,2018-06-19,2
^JKSE,2025-04-04,2025-04-07,2
^JKSE,2017-06-30,2017-06-30,1
^JKSE,2022-05-06,2022-05-06,1
^JKSE,2024-04-15,2024-04-15,1
