data_corte,inicio_vigencia,n_ativos,jaccard_vs_ano_anterior,ativos
2015-12-31,2016-01-01,26,,CC=F CL=F CT=F EWJ EWT HE=F HG=F IYR JPY=X KC=F NG=F PA=F PL=F SB=F SI=F XLE XLP XLU XLV ZC=F ZF=F ZL=F ZW=F ^BSESN ^GSPC ^JKSE
2016-12-30,2017-01-01,29,0.833333333333,CC=F CL=F CT=F EFA EWJ EWT HE=F HG=F IYR JPY=X KC=F LE=F NG=F NOK=X OJ=F PA=F PL=F SB=F SI=F XLE XLP XLU XLV ZC=F ZF=F ZL=F ZW=F ^BSESN ^JKSE
2017-12-29,2018-01-01,30,0.903225806452,CC=F CL=F CT=F EFA EWJ EWT HE=F HG=F IEF IYR JPY=X KC=F LE=F LQD NG=F NOK=X OJ=F PA=F PL=F SB=F SI=F XLE XLP XLU XLV ZC=F ZL=F ZW=F ^BSESN ^JKSE
2018-12-31,2019-01-01,38,0.619047619048,AGG BRL=X CAD=X CC=F CL=F CT=F EEM EWJ GBPUSD=X HE=F HG=F IEF INR=X IYR JPY=X KC=F LE=F MXN=X NG=F NZDUSD=X OJ=F PA=F PL=F SB=F SEK=X SI=F XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^GSPC ^JKSE
2019-12-31,2020-01-01,37,0.875,AGG BRL=X CAD=X CC=F CL=F CT=F EEM EWJ GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F NZDUSD=X OJ=F PA=F SB=F SEK=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^GSPC ^JKSE
2020-12-31,2021-01-01,39,0.853658536585,AGG BRL=X CAD=X CC=F CHF=X CL=F CT=F EFA EWJ GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F NZDUSD=X OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^JKSE
2021-12-31,2022-01-01,40,0.880952380952,AGG AUDUSD=X BRL=X CAD=X CC=F CHF=X CL=F CT=F EEM EWJ GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^GSPC ^JKSE
2022-12-30,2023-01-01,41,0.8,AGG AUDUSD=X BRL=X BZ=F CAD=X CC=F CHF=X CT=F EFA EWJ EWT GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZS=F ZW=F ^AXJO ^BSESN ^HSI ^JKSE
2023-12-29,2024-01-01,41,1,AGG AUDUSD=X BRL=X BZ=F CAD=X CC=F CHF=X CT=F EFA EWJ EWT GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZS=F ZW=F ^AXJO ^BSESN ^HSI ^JKSE
2024-12-31,2025-01-01,41,0.906976744186,AUDUSD=X BRL=X BZ=F CAD=X CC=F CHF=X CT=F DBA EFA EWJ EWT GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^HSI ^JKSE
2025-12-31,2026-01-01,41,1,AUDUSD=X BRL=X BZ=F CAD=X CC=F CHF=X CT=F DBA EFA EWJ EWT GBPUSD=X GLD HE=F HG=F IEF INR=X JPY=X KC=F LE=F MXN=X NG=F OJ=F PA=F PL=F SB=F SEK=X TRY=X VNQ XLE XLP XLU XLV ZAR=X ZC=F ZL=F ZW=F ^AXJO ^BSESN ^HSI ^JKSE
