,peso
CAD=X,0.2294195023023513
IEF,0.18045426260263037
JPY=X,0.1595674677679615
INR=X,0.1237096768570757
AUDUSD=X,0.11386377785592405
^AXJO,0.0713242730446731
DBA,0.06395710861672085
XLP,0.05380595603971502
VNQ,0.052486128975316244
EFA,0.05177926621220312
XLU,0.04908693525006608
^HSI,0.04812423944971486
XLV,0.04749119498493544
LE=F,0.0474226876837628
EWJ,0.040727690103654485
GLD,0.03815699856340582
XLE,0.03604768103288021
HG=F,0.03297328522292109
ZL=F,0.03245624089426803
CT=F,0.027744172981049434
ZW=F,0.02639181270064593
PL=F,0.023865223693182024
PA=F,0.02150414197875626
EWT,0.020952692078299483
BZ=F,0.017065781451726346
OJ=F,-0.010540614911404084
CC=F,-0.011974411413991857
KC=F,-0.016065838379065715
NG=F,-0.02065284336668897
^JKSE,-0.026175612675704216
SB=F,-0.03181758236596996
HE=F,-0.032838165450366726
ZC=F,-0.03490112875262658
^BSESN,-0.06782755239006161
BRL=X,-0.07235549798186666
ZAR=X,-0.07732334906535422
SEK=X,-0.10533198131324051
MXN=X,-0.12514114107453062
GBPUSD=X,-0.1426984922502049
TRY=X,-0.613977590265084
