Date,^BVSP,SPY,QQQ,IWM,EFA,EEM,EWZ,FXI,EWJ,EWG,EWU,EWY,EWT,EWA,XLU,XLE,XLV,GDX,VNQ,IEF,TLT,SHY,LQD,HYG,TIP,EMB,BRL=X,EURUSD=X,JPY=X,GBPUSD=X,AUDUSD=X,CAD=X,CHF=X,MXN=X,GLD,SLV,DBC,USO,UNG,DBA,BTC-USD,ETH-USD
2000-01-03,16930.00,91.13274,79.83972,,,,,,41.88750,13.54811,16.28945,,,3.643990,5.478077,6.608258,20.35100,,,,,,,,,,,,101.6900,,,,,,,,,,,,,
2000-01-04,15851.00,87.56890,74.36256,,,,,,40.75540,12.90296,15.63787,,,3.561172,5.312828,6.483870,19.88918,,,,,,,,,,,,103.1400,,,,,,,,,,,,,
2000-01-05,16245.00,87.72554,72.46662,,,,,,39.62331,13.22554,15.73094,,,3.581876,5.446897,6.654906,19.71077,,,,,,,,,,,,104.0900,,,,,,,,,,,,,
2000-01-06,16107.00,86.31566,67.48981,,,,,,38.00603,13.22554,15.59133,,,3.540468,5.437544,6.911458,19.77373,,,,,,,,,,,,105.2300,,,,,,,,,,,,,
2000-01-07,16309.00,91.32854,75.83717,,,,,,38.81467,13.93520,15.45170,,,3.519762,5.484310,6.985320,20.01513,,,,,,,,,,,,105.3300,,,,,,,,,,,,,
2000-01-10,17022.00,91.64185,77.94372,,,,,,39.46159,13.90294,15.63787,,,3.643990,5.503018,6.927012,22.06178,,,,,,,,,,,,105.1600,,,,,,,,,,,,,
2000-01-11,16573.00,90.54530,74.15189,,,,,,39.13813,13.87069,15.40516,,,3.664693,5.443779,6.934784,21.47402,,,,,,,,,,,,106.0200,,,,,,,,,,,,,
2000-01-12,16617.00,89.64458,72.51929,,,,,,38.81467,13.83842,15.49824,,,3.602582,5.387657,6.903687,21.11718,,,,,,,,,,,,105.7100,,,,,,,,,,,,,
2000-01-13,17298.00,90.85867,76.89046,,,,,,39.46159,13.99972,15.54479,,,3.623286,5.337772,7.024195,21.74691,,,,,,,,,,,,106.0200,,,,,,,,,,,,,
2000-01-14,17658.00,92.09223,78.68105,,,,,,39.78503,14.29003,15.73094,,,3.726807,5.381420,6.981430,21.55799,,,,,,,,,,,,105.8800,,,,,,,,,,,,,
2000-01-17,18053.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8900,,,,,,,,,,,,,
